name,flag,description,source,header,cfg,is_analysis
EmbedDXILPass,-dxil-embed,Embed DXIL,lib/Target/DirectX/DXILWriter/DXILWriterPass.cpp,,False,True
EvexToVexInstPass,-x86-evex-to-vex-compress,Compressing EVEX instrs to VEX encoding when possible,lib/Target/X86/X86EvexToVex.cpp,,False,False
ExpandLargeDivRemLegacyPass,-expand-large-div-rem,Expand large div/rem,lib/CodeGen/ExpandLargeDivRem.cpp,,False,False
ExpandLargeFpConvertLegacyPass,-expand-large-fp-convert,Expand large fp convert,lib/CodeGen/ExpandLargeFpConvert.cpp,,False,False
ExpandMemCmpPass,-expandmemcmp,Expand memcmp()to load/stores,lib/CodeGen/ExpandMemCmp.cpp,,False,False
ExpandPostRA,-postrapseudos,Post-RA pseudo instruction expansion pass,lib/CodeGen/ExpandPostRAPseudos.cpp,,False,False
ExpandReductions,-expand-reductions,Expand reduction intrinsics,lib/CodeGen/ExpandReductions.cpp,,False,False
ExpandVectorPredication,-expandvp,Expand vector predication intrinsics,lib/CodeGen/ExpandVectorPredication.cpp,,False,False
ExternalAAWrapperPass,-external-aa,External Alias Analysis,lib/Analysis/AliasAnalysis.cpp,,False,True
FEntryInserter,-fentry-insert,Insert fentry calls,lib/CodeGen/FEntryInserter.cpp,,False,False
